"Time","Automobiles, Acura, All Models, All Vehicle Years, #","Automobiles, Alfa Romeo, All Models, All Vehicle Years, #","Automobiles, AM General, All Models, All Vehicle Years, #","Automobiles, American Motors, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, Austin/Austin Healey, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Brockway, All Models, All Vehicle Years, #","Automobiles, BSA, All Models, All Vehicle Years, #","Automobiles, Buick/Opel, All Models, All Vehicle Years, #","Automobiles, Cadillac, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Chrysler, All Models, All Vehicle Years, #","Automobiles, Daewoo, All Models, All Vehicle Years, #","Automobiles, Datsun/Nissan, All Models, All Vehicle Years, #","Automobiles, Diahatsu, All Models, All Vehicle Years, #","Automobiles, Diamond Reo/Reo, All Models, All Vehicle Years, #","Automobiles, Dodge, All Models, All Vehicle Years, #","Automobiles, Eagle, All Models, All Vehicle Years, #","Automobiles, Fiat, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Freightliner, All Models, All Vehicle Years, #","Automobiles, FWD, All Models, All Vehicle Years, #","Automobiles, GMC, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Hyundai, All Models, All Vehicle Years, #","Automobiles, Imperial, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Motorcycles, American Motors, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, BSA, All Models, All Vehicle Years, #","Motorcycles, Ducati, All Models, All Vehicle Years, #","Motorcycles, Harley-Davidson, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"01/1979",,,,134,22,,8,8,,358,138,1774,96,,194,,4,398,,26,1582,16,,236,122,,,,,,,,,
"02/1979",,,,110,20,,12,4,6,302,110,1846,94,,156,2,8,468,,22,1686,34,,230,122,,4,,,,,,,
"03/1979",,,,192,16,,12,10,8,404,156,2374,118,,236,2,12,504,,30,1948,20,,232,264,,2,,,,,,,
"04/1979",,,,140,12,,18,4,10,392,144,2392,134,,268,2,4,504,,32,1880,18,,228,350,,6,,,,,,,
"05/1979",,,,156,10,,18,2,12,354,116,2346,116,,248,6,4,486,,38,1962,34,,290,478,,6,,,,,,,
"06/1979",,,,166,8,,32,,20,342,128,2240,110,,266,6,10,538,,42,2018,20,,284,520,,4,,,,,,,
"07/1979",,,,156,14,,24,4,16,380,138,2406,128,,262,4,20,548,,14,2064,22,,290,516,,2,,,,,,,
"08/1979",,,,158,20,,24,6,34,358,130,2436,128,,238,6,8,554,,26,2230,42,2,296,542,,2,,,,,,,
"09/1979",,,,148,14,,26,6,22,442,140,2616,130,,218,2,8,560,,38,2234,40,4,244,430,,8,,,,,,,
"10/1979",,,,172,18,,18,6,18,446,200,2716,146,,248,8,8,588,,38,2160,44,,238,276,,4,,,,,,,
"11/1979",,,,182,6,,12,10,18,448,134,2516,178,,226,,4,632,,32,2150,50,,254,198,,10,,,,,,,
"12/1979",,,,166,18,,34,6,8,444,194,2706,156,,306,4,6,646,,28,2330,32,2,302,220,,4,,,,,,,
"01/1980",,4,,136,16,,16,4,8,340,96,1916,112,,214,2,6,466,,20,1784,48,,200,128,,8,4,,,,,,
"02/1980",,4,,108,2,2,6,2,6,336,128,1872,86,,214,,2,432,,26,1556,38,2,222,166,,10,,,,,,,
"03/1980",,,,154,10,4,20,6,8,364,108,2024,124,,240,2,2,456,,32,1758,18,,208,218,,6,2,,,,,,
"04/1980",,6,,134,10,4,10,4,12,346,118,1920,142,,240,,4,406,,34,1792,34,,238,342,,6,4,,,,,,
"05/1980",,4,,136,12,2,30,,22,356,152,2368,142,,272,6,8,450,,32,2034,50,,270,522,,4,4,,,,,,
"06/1980",,6,,142,14,4,38,2,32,378,140,2534,168,,342,2,12,524,,44,2156,28,,236,536,,2,,,,,,,
"07/1980",,2,2,140,14,4,30,,24,364,144,2486,128,,306,8,4,528,,22,2062,42,,336,580,,,6,,,,,,
"08/1980",,,,150,26,2,42,2,34,468,186,2930,130,,332,6,6,528,,22,2222,60,2,268,590,,8,2,,,,,,
"09/1980",,2,,154,10,2,32,2,20,352,136,2482,174,,260,4,2,576,,30,1990,38,,274,458,,,,,,,,,
"10/1980",,,,136,24,,22,6,16,456,170,2372,134,,270,2,12,528,,30,2040,78,,248,286,,6,6,,,,,,
"11/1980",,2,,150,6,,20,6,14,432,144,2358,140,,312,,14,508,,40,2046,62,2,262,228,,4,4,,,,,,
"12/1980",,2,,158,36,4,20,4,4,412,176,2444,120,,294,,4,570,,28,2032,36,,270,172,,,,,,,,,
"01/1981",,2,2,160,16,2,30,6,10,330,132,2064,136,2,222,,6,400,,22,1732,68,,228,154,,2,4,,,,,,
"02/1981",,2,2,128,18,,30,4,2,352,142,1852,96,,246,2,6,434,,24,1654,54,,224,206,,2,2,,,,,,
"03/1981",,4,2,120,8,2,12,2,10,324,140,2064,136,4,252,4,2,498,,50,1766,36,,166,272,,6,4,,,,,,
"04/1981",,6,,144,8,2,12,,6,364,138,2154,106,,302,,4,462,,24,1752,46,,206,342,,2,2,,,,,,
"05/1981",,2,,156,16,4,12,2,8,368,152,2200,116,2,270,4,6,472,,34,1892,64,,212,378,,6,2,,,,,,
"06/1981",,2,8,140,14,2,38,8,14,348,128,2222,134,4,342,8,4,522,,40,1840,88,,258,436,,2,4,,,,,,
"07/1981",,2,,162,26,2,36,8,22,376,170,2424,144,8,350,4,4,530,,22,1982,70,,262,560,,6,6,,,,,,
"08/1981",,4,2,180,20,4,26,,10,402,146,2434,138,,292,4,2,572,,38,2170,80,,296,588,,2,2,,,,,,
"09/1981",,4,2,132,14,,24,4,12,366,170,2144,122,2,296,6,6,548,,28,1984,78,,250,476,,4,2,,,,,,
"10/1981",,2,,120,28,2,22,,12,412,156,2402,132,,298,4,6,516,,16,1994,84,,236,294,,2,,,,,,,
"11/1981",,,,104,16,4,16,4,10,430,146,2234,124,4,234,2,10,526,,28,1906,66,,234,240,,2,2,,,,,,
"12/1981",,2,2,160,16,4,22,2,6,444,164,2256,152,,278,,10,532,,20,1956,72,,270,200,,4,,,,,,,
"01/1982",,,2,112,6,4,14,2,2,282,106,1700,84,,268,2,6,366,,20,1412,66,,194,156,,4,2,,,,,,
"02/1982",,2,,98,12,2,18,2,6,302,110,1580,104,4,212,,2,334,,22,1254,40,,214,194,,,2,,,,,,
"03/1982",,2,,142,26,2,24,6,6,320,106,1820,132,2,274,,6,420,,16,1550,66,,214,244,,4,6,,,,,,
"04/1982",,2,2,104,10,2,28,2,6,358,130,1974,114,,246,4,2,420,,22,1562,74,,206,294,,10,2,,,,,,
"05/1982",,4,4,108,6,,20,2,16,352,138,2020,98,2,294,,,462,,26,1612,48,2,222,478,,,2,,,,,,
"06/1982",,2,2,130,20,2,30,,14,316,130,2080,88,,314,6,4,392,,26,1690,68,2,198,410,,,,,,,,,
"07/1982",,2,2,142,8,4,46,2,18,350,94,2130,124,,316,4,10,482,,36,1798,74,,238,474,,,6,,,,,,
"08/1982",,,6,116,18,2,24,4,18,370,110,2122,106,,296,,6,478,,18,1886,68,,250,498,,4,,,,,,,
"09/1982",,,,134,22,2,34,2,24,330,112,2176,134,,284,2,12,446,,32,1702,62,,230,390,,2,4,,,,,,
"10/1982",,6,,142,14,,26,4,24,410,136,2234,120,,320,2,,464,,24,1868,88,,286,306,,6,2,,,,,,
"11/1982",,,4,114,8,,18,4,4,366,154,1948,84,,304,2,4,478,,22,1590,68,,216,198,,2,4,,,,,,
"12/1982",,,,122,16,,28,2,8,364,130,2100,120,,330,,2,490,,10,1728,72,,206,218,,4,2,,,,,,
"01/1983",,,6,88,14,,16,2,8,274,116,1546,116,2,260,,4,346,,16,1434,46,,208,198,,4,4,,,,,,
"02/1983",,2,4,78,14,,18,2,4,300,110,1552,106,2,216,2,2,386,,18,1306,78,,196,172,,,,,,,,,
"03/1983",,4,2,106,16,,30,8,8,366,126,1614,90,,260,4,4,344,,8,1514,66,2,216,196,,,2,,,,,,
